rule,paragraph,directive
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Municipal Code Section 154-236 (3) Steady Red Indication (b)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Municipal Code Section 154-436 (1) Right Turns
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Municipal Code Section 154-874(A)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S 14: 46 False Imprisonment
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:100  Hit and Run Driving
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:102.1  Cruelty to Animals
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:103  Disturbing the Peace ( Domestic)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:118 Public Bribery
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:124   Perjury
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:132 Injuring Public Records
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:133 Filing or maintaining false public records
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:134  Malfeasance in Office
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:138 Public Payroll Fraud
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:34 Malfesance of Office
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:35 Domestic Abuse Battery
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:37  Aggravated Assault
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:38  Assault
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:40.2 Stalking
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:40.3 Cyberstalking
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:403 Abuse of Children
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:42 - Aggravated Rape (Attempted)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:42 First Degree Rape
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:43.1 Sexual Battery
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:46 False Imprisonment
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:56  Simple Criminal Damage to Property
